id,landmark_id
louvremuseum,1
NotreDamedeParis,2
ArcdeTriomphe,3
EiffelTower,4
MoulinRouge,5
SacreCoeur,6
BigBen,7
WestMinsterPalace,8
TowerBridge,9
LondonEye,10
BuckinghamPalace,11
SchonbrunnPalace,12
Hofburg,13
AustrianNationalLibrary,14
BelvederePalace,15
Stephansdom,16
BudapestParliament,17
HeroesSquare,18
StephensBasilica,19
colosseum,20
CastelSant'Angelo,21
hollywoodSign,22
griffithObservatory,23
sparrowHills,24
basil'sCathedral,25
statueOfLiberty,26
osakaCastle,27
leaningTower,28
cathedralOfChristTheSavior,29
operaHouse,30
piazzaVenezia,31
BrandenburgGate,32
BerlinerDom,33
CharlottenburgPalace,34
Reichstag,35
BerlinVictoryColumn,36
RotesRathaus,37
OberbaumBridge,38
MarinaBaySands,39
GardensByTheBay,40
Merlion,41
HawaMahal,42
TajMahal,43
TajMahal_side,44
